Date,Open,High,Low,Close,Adj Close,Volume
2012-09-26,73.309998,73.309998,72.269997,72.790001,68.071754,118800
2012-09-27,72.970001,74.050003,72.830002,73.930000,69.137863,106800
2012-09-28,73.690002,74.150002,73.269997,73.400002,68.642220,108900
2012-10-01,73.669998,74.110001,72.949997,73.139999,68.399078,532700
2012-10-02,73.430000,73.610001,72.750000,73.339996,68.586113,151200
2012-10-03,73.559998,73.790001,73.160004,73.589996,68.819901,84200
2012-10-04,73.629997,73.889999,73.220001,73.760002,68.978889,103700
2012-10-05,74.099998,74.190002,73.139999,73.269997,68.520653,103200
2012-10-08,72.870003,73.000000,72.349998,72.480003,67.781868,193200
2012-10-09,72.349998,72.349998,71.269997,71.559998,66.921486,139500
2012-10-10,71.430000,71.580002,71.059998,71.190002,66.575478,116600
2012-10-11,71.769997,71.800003,71.000000,71.010002,66.407150,239900
2012-10-12,71.010002,71.419998,70.879997,71.099998,66.491302,108300
2012-10-15,71.330002,71.629997,70.900002,71.529999,66.893440,72400
2012-10-16,71.699997,72.769997,71.699997,72.730003,68.015648,109200
2012-10-17,72.150002,72.480003,71.830002,72.209999,67.529350,96000
2012-10-18,71.989998,72.099998,70.959999,71.150002,66.538078,143900
2012-10-19,70.959999,70.959999,69.470001,69.550003,65.041779,232200
2012-10-22,69.559998,70.199997,69.410004,70.099998,65.556129,143600
2012-10-23,69.500000,70.000000,69.190002,69.410004,64.910851,204000
2012-10-24,69.750000,69.930000,68.860001,69.010002,64.536789,151200
2012-10-25,69.519997,69.599998,68.589996,68.900002,64.433914,149100
2012-10-26,68.849998,69.300003,68.290001,69.050003,64.574196,184300
2012-10-31,69.040001,69.239998,68.500000,68.629997,64.181427,251900
2012-11-01,69.010002,70.040001,68.839996,69.940002,65.406509,263900
2012-11-02,70.190002,70.190002,68.900002,68.949997,64.480652,124500
2012-11-05,69.029999,69.570000,68.910004,69.449997,64.948273,115300
2012-11-06,69.779999,70.330002,69.680000,69.889999,65.359726,132100
2012-11-07,69.099998,69.239998,67.809998,68.050003,63.639008,283900
2012-11-08,68.339996,68.529999,67.089996,67.089996,62.741234,575200
2012-11-09,67.010002,68.050003,67.000000,67.419998,63.049854,223200
2012-11-12,67.660004,67.669998,66.940002,67.199997,62.844112,108000
2012-11-13,66.620003,67.360001,66.440002,66.790001,62.460690,180300
2012-11-14,67.070000,67.269997,65.970001,66.080002,61.796707,198100
2012-11-15,66.110001,66.320000,65.510002,65.709999,61.450687,295400
2012-11-16,65.769997,66.129997,64.809998,65.980003,61.703186,187100
2012-11-19,66.699997,67.800003,66.639999,67.760002,63.367805,162400
2012-11-20,67.709999,67.769997,66.870003,67.430000,63.059196,170300
2012-11-21,67.519997,67.870003,67.419998,67.760002,63.367805,113700
2012-11-23,68.019997,68.820000,68.019997,68.820000,64.359085,69100
2012-11-26,68.639999,69.290001,68.559998,69.279999,64.789284,221900
2012-11-27,69.349998,69.470001,68.889999,69.019997,64.546143,150700
2012-11-28,68.580002,69.540001,68.199997,69.510002,65.004379,176100
2012-11-29,69.849998,70.120003,69.580002,69.839996,65.312988,167000
2012-11-30,69.959999,70.000000,69.510002,69.720001,65.200752,222100
2012-12-03,70.239998,70.290001,69.510002,69.550003,65.041779,184700
2012-12-04,69.500000,69.629997,69.070000,69.489998,64.985672,124100
2012-12-05,69.389999,69.389999,68.320000,68.779999,64.321701,354000
2012-12-06,68.629997,69.449997,68.300003,69.239998,64.751869,320800
2012-12-07,69.559998,69.680000,68.660004,68.919998,64.452606,237700
2012-12-10,68.779999,69.500000,68.779999,69.190002,64.705116,215700
2012-12-11,69.699997,70.510002,69.610001,70.190002,65.640305,202700
2012-12-12,70.529999,70.529999,69.720001,69.889999,65.359726,146500
2012-12-13,69.720001,70.169998,69.110001,69.379997,64.882797,142200
2012-12-14,68.919998,69.110001,68.510002,68.779999,64.321701,197800
2012-12-17,68.709999,69.669998,68.709999,69.669998,65.154022,252900
2012-12-18,70.059998,70.910004,69.809998,70.839996,66.248161,377800
2012-12-19,70.949997,71.169998,70.589996,70.610001,66.033066,272500
2012-12-20,69.849998,69.949997,69.360001,69.809998,66.064293,166600
2012-12-21,68.980003,69.269997,68.650002,69.220001,65.505959,320800
2012-12-24,69.089996,69.160004,68.860001,68.959999,65.259903,118800
2012-12-26,69.000000,69.260002,68.360001,68.570000,64.890816,192400
2012-12-27,68.519997,68.639999,67.580002,68.470001,64.796204,280200
2012-12-28,68.160004,68.440002,67.709999,67.730003,64.095909,248900
2012-12-31,67.669998,69.300003,67.589996,69.110001,65.401855,417800
2013-01-02,70.690002,71.250000,70.570000,71.239998,67.417572,310900
2013-01-03,71.330002,71.470001,70.589996,70.820000,67.020119,385700
2013-01-04,70.839996,70.839996,70.269997,70.510002,66.726746,186700
2013-01-07,70.180000,70.589996,70.019997,70.400002,66.622650,210800
2013-01-08,70.360001,70.589996,69.830002,70.220001,66.452309,598400
2013-01-09,70.330002,70.570000,70.260002,70.459999,66.679428,232400
2013-01-10,70.919998,70.989998,70.120003,70.779999,66.982254,241600
2013-01-11,70.790001,71.089996,70.730003,71.040001,67.228310,159600
2013-01-14,70.529999,70.800003,70.290001,70.629997,66.840294,254000
2013-01-15,70.199997,70.290001,69.900002,70.279999,66.509079,311000
2013-01-16,70.339996,70.900002,70.230003,70.629997,66.840294,160800
2013-01-17,70.970001,71.230003,70.910004,71.010002,67.199913,165100
2013-01-18,70.720001,70.790001,70.419998,70.769997,66.972786,144500
2013-01-22,70.830002,70.930000,70.370003,70.930000,67.124207,247200
2013-01-23,71.419998,71.949997,71.419998,71.699997,67.852898,313800
2013-01-24,70.570000,71.190002,70.410004,70.580002,66.792984,354100
2013-01-25,70.830002,71.169998,70.620003,70.750000,66.953865,213100
2013-01-28,70.860001,71.269997,70.769997,70.989998,67.180969,195600
2013-01-29,70.800003,70.889999,70.320000,70.739998,66.944397,202700
2013-01-30,70.800003,71.040001,70.440002,70.629997,66.840294,163100
2013-01-31,70.709999,71.260002,70.540001,70.639999,66.849770,562700
2013-02-01,71.110001,71.540001,70.849998,71.430000,67.597382,187500
2013-02-04,71.059998,71.290001,70.269997,70.339996,66.565849,242200
2013-02-05,70.720001,71.470001,70.519997,71.279999,67.455429,213700
2013-02-06,70.989998,71.510002,70.910004,71.260002,67.436485,286600
2013-02-07,71.320000,71.629997,70.510002,71.279999,67.455429,169900
2013-02-08,71.540001,72.099998,71.540001,71.989998,68.127327,262600
