Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,87.319862,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,87.716309,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,88.819427,33700
2010-09-14,102.839996,103.480003,102.379997,103.040001,88.802177,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,89.026260,9200
2010-09-16,103.019997,103.320000,102.699997,103.260002,88.991791,59500
2010-09-17,103.879997,103.879997,103.019997,103.360001,89.077972,49300
2010-09-20,103.739998,105.040001,103.459999,105.040001,90.525841,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,90.250069,19200
2010-09-22,104.559998,105.040001,103.959999,104.160004,89.767448,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,89.026260,33300
2010-09-24,103.940002,104.900002,103.860001,104.839996,90.844170,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,90.410919,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,91.000137,49800
2010-09-29,104.580002,104.919998,104.220001,104.519997,90.566887,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,90.428261,44700
2010-10-01,105.080002,105.160004,104.160004,104.720001,90.740211,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,89.977669,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,91.953323,19800
2010-10-06,106.120003,106.279999,105.620003,105.940002,91.797356,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,91.745377,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,92.438553,61500
2010-10-11,106.720001,106.839996,106.279999,106.500000,92.282578,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,92.819817,42000
2010-10-13,107.580002,108.279999,107.239998,107.760002,93.374390,74400
2010-10-14,107.699997,107.820000,106.800003,107.360001,93.027786,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,93.201050,54900
2010-10-18,107.620003,108.440002,107.440002,108.339996,93.876945,22800
2010-10-19,107.139999,107.680000,106.019997,106.620003,92.386559,38500
2010-10-20,106.940002,108.160004,106.940002,107.760002,93.374390,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,93.513016,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,93.738304,24800
